"Zeit";"Position";"Signalgeschwindigkeit"
7,289747;1,495803;1,722532
7,291455;1,492148;2,139529
7,293095;1,489586;1,563013
7,294773;1,487126;1,464766
7,296408;1,484608;1,540735
7,298128;1,482157;1,4253
7,29982;1,479576;1,52456
7,30144;1,477038;1,567207
7,303218;1,474608;1,366318
7,307613;1,471941;0,6068678
7,309319;1,465348;3,865792
7,310956;1,462789;1,562851
7,312588;1,460334;1,504137
7,314228;1,457886;1,493752
7,315884;1,455427;1,484789
7,317642;1,452943;1,412788
7,319215;1,450305;1,676691
7,320937;1,447946;1,369748
7,322777;1,445362;1,403979
7,324362;1,442602;1,741584
7,325925;1,440224;1,521801
7,327516;1,437881;1,472458
7,329128;1,435494;1,480762
7,333353;1,433075;0,5724145
7,335092;1,426738;3,645333
7,336757;1,424131;1,566117
7,338423;1,421633;1,498772
7,340078;1,419134;1,510412
7,341956;1,416651;1,321494
7,343541;1,413834;1,778022
7,345314;1,411457;1,340836
7,347008;1,408798;1,569406
7,348613;1,406256;1,583614
7,350228;1,403849;1,490319
7,351863;1,401426;1,482276
7,353549;1,398974;1,454182
7,355153;1,396445;1,577167
7,35672;1,394039;1,53494
7,358275;1,391689;1,511502
7,359884;1,389356;1,449849
7,361658;1,386942;1,360338
7,366355;1,384281;0,5666299
7,368077;1,377236;4,090785
7,369844;1,374653;1,461702
7,371435;1,372002;1,666442
7,373055;1,369615;1,472789
7,374693;1,367185;1,483893
7,37627;1,364728;1,558501
7,377895;1,362364;1,454655
7,379458;1,359926;1,560064
7,380994;1,357582;1,525708
7,382729;1,355277;1,328947
7,384367;1,352675;1,588317
7,386026;1,350218;1,479973
7,387645;1,347728;1,538657
7,389363;1,345301;1,413272
7,390971;1,342724;1,602357
7,3926;1,340312;1,480276
7,394226;1,337868;1,503721
7,395867;1,33543;1,485088
7,397535;1,332967;1,476057
7,399154;1,330465;1,546531
7,40076;1,328038;1,511271
7,402565;1,325629;1,334246
7,404166;1,322921;1,691354
7,405775;1,320519;1,493489
7,407469;1,318107;1,423701
7,409121;1,315565;1,538184
7,410712;1,313087;1,557813
7,412314;1,3107;1,48967
7,414026;1,308297;1,403962
7,415624;1,30573;1,60674
7,417271;1,303333;1,455265
7,418842;1,300862;1,572261
7,423309;1,298505;0,5276722
7,425196;1,291805;3,550693
7,426839;1,288975;1,722557
7,428436;1,28651;1,543569
7,429998;1,284115;1,532702
7,431628;1,281771;1,438486
7,433228;1,279326;1,526999
7,434881;1,276925;1,452771
7,436545;1,274446;1,490009
7,438143;1,271951;1,561927
7,439796;1,269554;1,449736
7,441389;1,267074;1,556778
7,443151;1,264685;1,356562
7,444809;1,262043;1,592955
7,446429;1,259555;1,535476
7,448039;1,257125;1,509984
7,449622;1,254711;1,524614
7,451283;1,252335;1,429923
7,452901;1,249844;1,540303
7,454526;1,247417;1,492885
7,456221;1,24498;1,438148
7,457861;1,242437;1,550426
7,45959;1,239977;1,423352
7,461168;1,237384;1,643047
7,462959;1,235017;1,321552
7,4646;1,232331;1,637212
7,46623;1,229869;1,509731
7,467873;1,227424;1,488411
7,469497;1,224959;1,517756
7,47115;1,222524;1,473404
7,472824;1,220044;1,481286
7,474425;1,217533;1,568312
7,475986;1,215131;1,538298
7,48041;1,21279;0,529352
7,482266;1,206154;3,574866
7,483861;1,20337;1,745613
7,485518;1,200977;1,444241
7,487182;1,198492;1,493071
7,488814;1,195996;1,529519
7,490493;1,193547;1,458288
7,492097;1,191029;1,569619
7,493651;1,188622;1,549245
7,495153;1,186292;1,550895
