Zeit;Kopf.x;Kopf.y, Kopf.z; Real.x; Real.y; Real.z
0;0;0, 0; 0; 0; 0
0,02;0;0, 0; 0; 0; 0
0,2585748;0;1,75, 0; 0; 1,75; 0
0,2740119;0;1,75, 0; 0; 1,75; 0
0,2767106;0;1,75, 0; 0; 1,75; 0
0,2783772;0;1,75, 0; 0; 1,75; 0
0,2804666;0;1,75, 0; 0; 1,75; 0
0,282447;0;1,75, 0; 0; 1,75; 0
0,2873858;0;1,75, 0; 0; 1,75; 0
0,2964392;0;1,75, 0; 0; 1,75; 0
0,3026009;0;1,75, 0; 0; 1,75; 0
0,3115905;0;1,75, 0; 0; 1,75; 0
0,3184064;0;1,75, 0; 0; 1,75; 0
0,3276523;0;1,75, 0; 0; 1,75; 0
0,3343101;0;1,75, 0; 0; 1,75; 0
0,3411172;0;1,75, 0; 0; 1,75; 0
0,3504691;0;1,75, 0; 0; 1,75; 0
0,3570114;0;1,75, 0; 0; 1,75; 0
0,367049;0;1,75, 0; 0; 1,75; 0
0,3762379;0;1,75, 0; 0; 1,75; 0
0,3827638;0;1,75, 0; 0; 1,75; 0
0,3892906;0;1,75, 0; 0; 1,75; 0
0,3988918;0;1,75, 0; 0; 1,75; 0
0,4054064;0;1,75, 0; 0; 1,75; 0
0,4147759;0;1,75, 0; 0; 1,75; 0
0,42123;0;1,75, 0; 0; 1,75; 0
0,4308456;0;1,75, 0; 0; 1,75; 0
0,4368688;0;1,75, 0; 0; 1,75; 0
0,4468511;0;1,75, 0; 0; 1,75; 0
0,4539359;0;1,75, 0; 0; 1,75; 0
0,4561336;0;1,75, 0; 0; 1,75; 0
0,4580568;0;1,75, 0; 0; 1,75; 0
0,4598302;0;1,75, 0; 0; 1,75; 0
0,4615122;0;1,75, 0; 0; 1,75; 0
0,4635145;0;1,75, 0; 0; 1,75; 0
0,465245;0;1,75, 0; 0; 1,75; 0
0,4671753;0;1,75, 0; 0; 1,75; 0
0,4691355;0;1,75, 0; 0; 1,75; 0
0,4708864;0;1,75, 0; 0; 1,75; 0
0,4725404;0;1,75, 0; 0; 1,75; 0
0,4742749;0;1,75, 0; 0; 1,75; 0
0,4760121;0;1,75, 0; 0; 1,75; 0
0,4776042;0;1,75, 0; 0; 1,75; 0
0,4793549;0;1,75, 0; 0; 1,75; 0
0,4835253;0;1,75, 0; 0; 1,75; 0
0,4854559;0;1,75, 0; 0; 1,75; 0
0,4870775;0;1,75, 0; 0; 1,75; 0
0,4885795;0;1,75, 0; 0; 1,75; 0
0,4900716;0;1,75, 0; 0; 1,75; 0
0,491547;0;1,75, 0; 0; 1,75; 0
