Zeit;Kopf.x;Kopf.y;Kopf.z; Real.x; Real.y; Real.z
0;0;0; 0; 0; 0; 0
0,02;0;0; 0; 0; 0; 0
0,3533334;0;1,75; 0; 0; 1,75; 0
0,373892;0;1,75; 0; 0; 1,75; 0
0,3830912;0;1,75; 0; 0; 1,75; 0
0,3851714;0;1,75; 0; 0; 1,75; 0
0,3868342;0;1,75; 0; 0; 1,75; 0
0,3883379;0;1,75; 0; 0; 1,75; 0
0,3934671;0;1,75; 0; 0; 1,75; 0
0,3984489;0;1,75; 0; 0; 1,75; 0
0,4063844;0;1,75; 0; 0; 1,75; 0
0,4116249;0;1,75; 0; 0; 1,75; 0
0,4166819;0;1,75; 0; 0; 1,75; 0
0,4244581;0;1,75; 0; 0; 1,75; 0
0,4299109;0;1,75; 0; 0; 1,75; 0
0,4342718;0;1,75; 0; 0; 1,75; 0
0,4421397;0;1,75; 0; 0; 1,75; 0
0,4467992;0;1,75; 0; 0; 1,75; 0
0,4518842;0;1,75; 0; 0; 1,75; 0
0,4603854;0;1,75; 0; 0; 1,75; 0
0,4650202;0;1,75; 0; 0; 1,75; 0
0,4727928;0;1,75; 0; 0; 1,75; 0
0,478004;0;1,75; 0; 0; 1,75; 0
0,4828065;0;1,75; 0; 0; 1,75; 0
0,4899334;0;1,75; 0; 0; 1,75; 0
0,495132;0;1,75; 0; 0; 1,75; 0
0,500158;0;1,75; 0; 0; 1,75; 0
0,5075641;0;1,75; 0; 0; 1,75; 0
0,5114861;0;1,75; 0; 0; 1,75; 0
0,5151731;0;1,75; 0; 0; 1,75; 0
0,5196015;0;1,75; 0; 0; 1,75; 0
0,5249593;0;1,75; 0; 0; 1,75; 0
0,5344903;0;1,75; 0; 0; 1,75; 0
0,538985;0;1,75; 0; 0; 1,75; 0
0,5427293;0;1,75; 0; 0; 1,75; 0
0,5444261;0;1,75; 0; 0; 1,75; 0
0,5468532;0;1,75; 0; 0; 1,75; 0
0,553453;0;1,75; 0; 0; 1,75; 0
0,5575677;0;1,75; 0; 0; 1,75; 0
0,5613436;0;1,75; 0; 0; 1,75; 0
0,565477;0;1,75; 0; 0; 1,75; 0
0,5719699;0;1,75; 0; 0; 1,75; 0
0,5758973;0;1,75; 0; 0; 1,75; 0
0,5798562;0;1,75; 0; 0; 1,75; 0
0,5837871;0;1,75; 0; 0; 1,75; 0
0,5907254;0;1,75; 0; 0; 1,75; 0
0,5947489;0;1,75; 0; 0; 1,75; 0
0,598722;0;1,75; 0; 0; 1,75; 0
0,6038302;0;1,75; 0; 0; 1,75; 0
0,6082656;0;1,75; 0; 0; 1,75; 0
