Zeit;Kopf.x;Kopf.y, Kopf.z; Real.x; Real.y; Real.z
0;0;0, 0; 0; 0; 0
0,02;0;0, 0; 0; 0; 0
0,2564631;0;1,75, 0; 0; 1,75; 0
0,2708568;0;1,75, 0; 0; 1,75; 0
0,2736037;0;1,75, 0; 0; 1,75; 0
0,2751889;0;1,75, 0; 0; 1,75; 0
0,2767238;0;1,75, 0; 0; 1,75; 0
0,283403;0;1,75, 0; 0; 1,75; 0
0,2852678;0;1,75, 0; 0; 1,75; 0
0,2895693;0;1,75, 0; 0; 1,75; 0
0,2992182;0;1,75, 0; 0; 1,75; 0
0,3048934;0;1,75, 0; 0; 1,75; 0
0,3141733;0;1,75, 0; 0; 1,75; 0
0,31971;0;1,75, 0; 0; 1,75; 0
0,3286889;0;1,75, 0; 0; 1,75; 0
0,3347346;0;1,75, 0; 0; 1,75; 0
0,3431005;0;1,75, 0; 0; 1,75; 0
0,350417;0;1,75, 0; 0; 1,75; 0
0,3556605;0;1,75, 0; 0; 1,75; 0
0,3638533;0;1,75, 0; 0; 1,75; 0
0,3689818;0;1,75, 0; 0; 1,75; 0
0,3741799;0;1,75, 0; 0; 1,75; 0
0,3821115;0;1,75, 0; 0; 1,75; 0
0,3872469;0;1,75, 0; 0; 1,75; 0
0,3964947;0;1,75, 0; 0; 1,75; 0
0,4011048;0;1,75, 0; 0; 1,75; 0
0,4073259;0;1,75, 0; 0; 1,75; 0
0,4146413;0;1,75, 0; 0; 1,75; 0
0,4196156;0;1,75, 0; 0; 1,75; 0
0,4246431;0;1,75, 0; 0; 1,75; 0
0,4328571;0;1,75, 0; 0; 1,75; 0
0,4373471;0;1,75, 0; 0; 1,75; 0
0,4428649;0;1,75, 0; 0; 1,75; 0
0,4510478;0;1,75, 0; 0; 1,75; 0
0,4626561;0;1,75, 0; 0; 1,75; 0
0,4691553;0;1,75, 0; 0; 1,75; 0
0,4759393;0;1,75, 0; 0; 1,75; 0
0,4815563;0;1,75, 0; 0; 1,75; 0
0,4832469;0;1,75, 0; 0; 1,75; 0
0,486835;0;1,75, 0; 0; 1,75; 0
0,4921632;0;1,75, 0; 0; 1,75; 0
0,4998874;0;1,75, 0; 0; 1,75; 0
0,5050277;0;1,75, 0; 0; 1,75; 0
0,5099957;0;1,75, 0; 0; 1,75; 0
0,5180396;0;1,75, 0; 0; 1,75; 0
0,5228097;0;1,75, 0; 0; 1,75; 0
0,5304967;0;1,75, 0; 0; 1,75; 0
0,5355129;0;1,75, 0; 0; 1,75; 0
0,5430647;0;1,75, 0; 0; 1,75; 0
0,5487631;0;1,75, 0; 0; 1,75; 0
