Zeit;Kopf.x;Kopf.y, Kopf.z; Real.x; Real.y; Real.z
0;0;0, 0; 0; 0; 0
0,02;0;0, 0; 0; 0; 0
0,3533334;0;1,75, 0; 0; 1,75; 0
0,376085;0;1,75, 0; 0; 1,75; 0
0,3829421;0;1,75, 0; 0; 1,75; 0
0,3848206;0;1,75, 0; 0; 1,75; 0
0,3864333;0;1,75, 0; 0; 1,75; 0
0,395162;0;1,75, 0; 0; 1,75; 0
0,3970841;0;1,75, 0; 0; 1,75; 0
0,3986391;0;1,75, 0; 0; 1,75; 0
0,4019041;0;1,75, 0; 0; 1,75; 0
0,4067578;0;1,75, 0; 0; 1,75; 0
0,4149875;0;1,75, 0; 0; 1,75; 0
0,4196299;0;1,75, 0; 0; 1,75; 0
0,4244607;0;1,75, 0; 0; 1,75; 0
0,4320583;0;1,75, 0; 0; 1,75; 0
0,4368543;0;1,75, 0; 0; 1,75; 0
0,4445294;0;1,75, 0; 0; 1,75; 0
0,4493161;0;1,75, 0; 0; 1,75; 0
0,4546161;0;1,75, 0; 0; 1,75; 0
0,4613057;0;1,75, 0; 0; 1,75; 0
0,4661327;0;1,75, 0; 0; 1,75; 0
0,4706067;0;1,75, 0; 0; 1,75; 0
0,4776026;0;1,75, 0; 0; 1,75; 0
0,4824771;0;1,75, 0; 0; 1,75; 0
0,487226;0;1,75, 0; 0; 1,75; 0
0,4912117;0;1,75, 0; 0; 1,75; 0
0,4973224;0;1,75, 0; 0; 1,75; 0
0,5011746;0;1,75, 0; 0; 1,75; 0
0,5065665;0;1,75, 0; 0; 1,75; 0
0,5111209;0;1,75, 0; 0; 1,75; 0
0,5148591;0;1,75, 0; 0; 1,75; 0
0,5191677;0;1,75, 0; 0; 1,75; 0
0,5242248;0;1,75, 0; 0; 1,75; 0
0,5285329;0;1,75, 0; 0; 1,75; 0
0,5403101;0;1,75, 0; 0; 1,75; 0
0,5468692;0;1,75, 0; 0; 1,75; 0
0,5505486;0;1,75, 0; 0; 1,75; 0
0,5520703;0;1,75, 0; 0; 1,75; 0
0,55357;0;1,75, 0; 0; 1,75; 0
0,555033;0;1,75, 0; 0; 1,75; 0
0,5595679;0;1,75, 0; 0; 1,75; 0
0,5658115;0;1,75, 0; 0; 1,75; 0
0,5697876;0;1,75, 0; 0; 1,75; 0
0,5757685;0;1,75, 0; 0; 1,75; 0
0,5803483;0;1,75, 0; 0; 1,75; 0
0,5842437;0;1,75, 0; 0; 1,75; 0
0,58816;0;1,75, 0; 0; 1,75; 0
0,5948859;0;1,75, 0; 0; 1,75; 0
0,5985627;0;1,75, 0; 0; 1,75; 0
