Zeit;Kopf.x;Kopf.y;Kopf.z; Real.x; Real.y; Real.z
0,3533334;0;1,75; 0; 0; 1,75; 0
9,447537;0;1,75; 0,0038823; 0; 1,75; 0,0038823
9,44938;0;1,75; 0,007676099; 0; 1,75; 0,007676099
9,451273;0;1,75; 1,010439; 0; 1,75; 0,0104394
9,453073;0;1,75; 1,013278; 0; 1,75; 0,01327845
9,454861;0;1,75; 1,015978; 0; 1,75; 0,01597815
9,456523;0;1,75; 1,018661; 0; 1,75; 0,01866105
9,458196;0;1,75; 1,021155; 0; 1,75; 0,02115465
9,460023;0;1,75; 1,023663; 0; 1,75; 0,02366265
9,462021;0;1,75; 1,026403; 0; 1,75; 0,02640345
9,463949;0;1,75; 1,029401; 0; 1,75; 0,02940105
9,465693;0;1,75; 1,032293; 0; 1,75; 0,0322932
9,467526;0;1,75; 1,034909; 0; 1,75; 0,03490875
9,469348;0;1,75; 1,037659; 0; 1,75; 0,0376587
9,471245;0;1,75; 1,040392; 0; 1,75; 0,04039215
9,473055;0;1,75; 1,043236; 0; 1,75; 0,04323645
9,474921;0;1,75; 1,045952; 0; 1,75; 0,04595235
9,476603;0;1,75; 1,048752; 0; 1,75; 0,04875165
9,478349;0;1,75; 1,051274; 0; 1,75; 0,0512736
9,480213;0;1,75; 1,053893; 0; 1,75; 0,05389275
9,482102;0;1,75; 1,05669; 0; 1,75; 0,0566895
9,48385;0;1,75; 1,059523; 0; 1,75; 0,05952345
9,485582;0;1,75; 1,062145; 0; 1,75; 0,0621453
9,487209;0;1,75; 1,064744; 0; 1,75; 0,0647436
9,488881;0;1,75; 1,067184; 0; 1,75; 0,06718425
9,490582;0;1,75; 1,069691; 0; 1,75; 0,06969105
9,492329;0;1,75; 1,072244; 0; 1,75; 0,07224391
9,493962;0;1,75; 1,074862; 0; 1,75; 0,07486246
9,495647;0;1,75; 1,077314; 0; 1,75; 0,07731361
9,497525;0;1,75; 1,079841; 0; 1,75; 0,07984111
9,499369;0;1,75; 1,082658; 0; 1,75; 0,08265766
9,501073;0;1,75; 1,085422; 0; 1,75; 0,08542231
9,502955;0;1,75; 1,087979; 0; 1,75; 0,0879792
9,504806;0;1,75; 1,090802; 0; 1,75; 0,09080236
9,506548;0;1,75; 1,093578; 0; 1,75; 0,0935775
9,508283;0;1,75; 1,096192; 0; 1,75; 0,09619185
9,510062;0;1,75; 1,098794; 0; 1,75; 0,0987939
9,511774;0;1,75; 1,101463; 0; 1,75; 0,1014635
9,513494;0;1,75; 1,104031; 0; 1,75; 0,1040305
9,515195;0;1,75; 1,106612; 0; 1,75; 0,1066118
9,516813;0;1,75; 1,109161; 0; 1,75; 0,1091615
9,518634;0;1,75; 1,11159; 0; 1,75; 0,1115903
9,520473;0;1,75; 1,11432; 0; 1,75; 0,1143198
9,522457;0;1,75; 1,117078; 0; 1,75; 0,1170778
9,52426;0;1,75; 1,120055; 0; 1,75; 0,1200548
9,525978;0;1,75; 1,122759; 0; 1,75; 0,1227588
9,527788;0;1,75; 1,125337; 0; 1,75; 0,1253365
9,529593;0;1,75; 1,128052; 0; 1,75; 0,1280524
9,531443;0;1,75; 1,13076; 0; 1,75; 0,1307601
9,537572;0;1,75; 1,133533; 0; 1,75; 0,1335334
9,539365;0;1,75; 1,142728; 0; 1,75; 0,1427278
9,541062;0;1,75; 2,145416; 0; 1,75; 0,1454164
